pond_name,plot_number,surface_temp_c,temp_at_05_m_c
Cabin Pond,1,18.4,21.6
Cabin Pond,2,21.3,20.8
Cabin Pond,3,22.3,19
Cabin Pond,4,20,20.3
Cabin Pond,5,18.9,18
Cabin Pond,6,19.5,19
Cabin Pond,7,18.3,18
Cabin Pond,8,20.3,21.7
Cabin Pond,9,21.1,20.2
Cabin Pond,10,21,20.4
Turtle Pond,1,18.3,17.1
Turtle Pond,2,16.9,16.7
Turtle Pond,3,17.3,16.8
Turtle Pond,4,17.4,17.1
Turtle Pond,5,17.8,17.8
Turtle Pond,6,19,17.6
Turtle Pond,7,18.7,17.9
Turtle Pond,8,18.9,18
Turtle Pond,9,19.1,18.6
Rope Swing Pond,1,16.7,17.7
Rope Swing Pond,2,16.5,16.9
Rope Swing Pond,3,15.5,17.1
Rope Swing Pond,4,15.5,17.3
Rope Swing Pond,5,16.5,18.4
Rope Swing Pond,6,18,16.9
Big Lake,1,16.9,18.1
Big Lake,2,17.4,18.7
Big Lake,3,18.6,19.6
Big Lake,4,19.6,19.3
Big Lake,5,19.9,20.1
Big Lake,6,20,19.8
Big Lake,7,20.5,20.9
Big Lake,8,20.9,21.7
Big Lake,9,20.3,22.9
Big Lake,10,18.3,23.1
Big Lake,11,18.4,24.3
Big Lake,12,21.4,24.5
Big Lake,13,17.9,19.2
Big Lake,14,17.9,19.8
Big Lake,15,23.3,20.1
Big Lake,16,19.2,20.9
Big Lake,17,17.7,19.8
Big Lake,18,19.9,20.1
Big Lake,19,19.2,20.3